text,detected_language,translated_text,sentiment,confidence,confidence_type,method
Sir pahale hi thode chapter ke chapter  wise kar liye hai to ab  quizzer ke pyq chapter tests nahi करू??,en,"Sir, I have already done some chapters chapter wise, so why don't I do chapter tests after quizzes??",Neutral,0.11468831368349257,decision_function_margin,translated_via_fallback
Sir I hv done many pyqs of 2025 and 2024 so what do i do,en,Sir I hv done many pyqs of 2025 and 2024 so what do i do,Neutral,0.5353378313274906,decision_function_margin,translated_via_fallback
Doing smartly sir,en,Doing smartly sir,Positive,0.0951625073011021,decision_function_margin,translated_via_fallback
"Sir I want to talk to you 🙏🙏, I need your help.",en,"Sir I want to talk to you 🙏🙏, I need your help.",Positive,0.06034870193788766,decision_function_margin,translated_via_fallback
Sir but what if i already done 2020-2025 pyqs what should I give as mock?? Still 2022-2025???,en,Sir but what if i already done 2020-2025 pyqs what should I give as mock?? Still 2022-2025???,Neutral,0.5344762110169275,decision_function_margin,translated_via_fallback
Yaar diye kyu hh phir Quizzer pe last 5 years PyQs as mock hnnn Abb kahan se mock du 24se 21 solve kr liya,tr,Yaar diye kyu hh then Quizzer pe last 5 years PyQs as mock hnnn Abb kahan se mock du 24se 21 solved kr liya,Neutral,-0.027231891075605322,decision_function_margin,translated_via_fallback
Sir doing random pyqs as revision tool,en,Sir doing random pyqs as revision tool,Neutral,0.07679922022860661,decision_function_margin,translated_via_fallback
Sir aapne to bola tha 2020-2022 tak kro,tr,Sir you said till 2020-2022,Neutral,0.26162070445068614,decision_function_margin,translated_via_fallback
Thank you sir,id,Thank you sir,Positive,1.6936734061944945,decision_function_margin,translated_via_fallback
thank u so much sir❤❤,en,thank u so much sir❤❤,Positive,1.1748574928055668,decision_function_margin,translated_via_fallback
Is it enough??,en,Is it enough??,Neutral,0.812540169603657,decision_function_margin,translated_via_fallback
I am doing chapter wise pyqs from quizzer,en,I am doing chapter wise pyqs from quizzer,Neutral,0.28250302250204623,decision_function_margin,translated_via_fallback
Sir aap 2027 walo ke liye v tips dijiye,sw,Sir please give me some tips for 2027 candidates.,Neutral,0.30473475055943283,decision_function_margin,translated_via_fallback
Auto Dubb is Dumb,af,Auto Dubb is Dumb,Negative,0.26359948424463453,decision_function_margin,translated_via_fallback
"Smart pyq kar raha hu, same mentality se practice hori h meri",id,"I am drinking smart, I am practicing with the same mentality.",Neutral,-0.016253790481974423,decision_function_margin,translated_via_fallback
Smart,sv,Smart,Positive,0.30568256867073795,decision_function_margin,translated_via_fallback
"I am doing  pyqs from 2019 to 2023 
And giving pyqs as mock of years 2024 and 2025 !!?",en,"I am doing  pyqs from 2019 to 2023 
And giving pyqs as mock of years 2024 and 2025 !!?",Neutral,0.32223005829402446,decision_function_margin,translated_via_fallback
Smart wala from quizzr,en,Smart wala from quizzr,Neutral,0.19235255090729045,decision_function_margin,translated_via_fallback
Sir apka voice,lv,Sir your voice,Neutral,-0.1644996775528202,decision_function_margin,translated_via_fallback
Sir mai masala pyq solve kar raha hu nimbu maarke,so,"Sir, I am solving the masala problem by adding lemon.",Neutral,-0.030810341789025822,decision_function_margin,translated_via_fallback
Will give mocks as 2026 pyq's,en,Will give mocks as 2026 pyq's,Neutral,0.20161207608797682,decision_function_margin,translated_via_fallback
